,City Name,Country,Date,Latitude,Longitude,Maximum Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH)
0,Kaitangata,NZ,1553173152,-46.28,169.85,58.21,90,80,2.91
1,Busselton,AU,1553173089,-33.64,115.35,72.0,47,0,20.47
2,Sao Filipe,CV,1553173155,14.9,-24.5,70.72,96,36,15.99
3,Atuona,PF,1553173156,-9.8,-139.03,81.61,100,68,13.2
4,Wattegama,LK,1553173157,7.35,80.68,71.53,97,92,4.14
5,Mataura,NZ,1553172606,-46.19,168.86,61.0,90,32,0.89
6,Hilo,US,1553173155,19.71,-155.08,66.99,68,90,8.05
7,Rikitea,PF,1553173164,-23.12,-134.97,77.92,100,0,19.35
8,San Quintin,PH,1553173165,17.54,120.52,74.68,85,32,1.57
9,Nelson Bay,AU,1553172640,-32.72,152.14,72.0,94,40,7.16
10,Longyearbyen,NO,1553170800,78.22,15.63,23.0,73,40,10.29
11,Tasiilaq,GL,1553169000,65.61,-37.64,10.4,60,75,20.8
12,Carnarvon,ZA,1553173170,-30.97,22.13,80.44,20,0,4.59
13,Saskylakh,RU,1553173172,71.97,114.09,4.84,76,12,10.07
14,Mahebourg,MU,1553172841,-20.41,57.7,86.0,70,75,11.41
15,Tazovskiy,RU,1553173104,67.47,78.7,29.41,93,88,10.07
16,Ushuaia,AR,1553169600,-54.81,-68.31,42.8,100,90,9.4
17,Lavrentiya,RU,1553173177,65.58,-170.99,1.24,100,64,27.85
18,Rincon,US,1553173110,32.3,-81.24,52.0,93,1,2.8
19,Caravelas,BR,1553173179,-17.73,-39.27,78.64,100,92,7.94
20,Fort Smith,US,1553172884,35.39,-94.42,42.01,93,1,6.93
21,Hithadhoo,MV,1553173182,-0.6,73.08,85.48,100,0,4.14
22,Camacha,PT,1553171865,33.08,-16.33,66.2,55,20,17.22
23,Provideniya,RU,1553173184,64.42,-173.23,-0.03,100,20,18.23
24,Tiksi,RU,1553173186,71.64,128.87,-0.75,66,0,19.69
25,Saint George,GR,1553172805,39.45,22.34,63.0,45,20,11.41
26,Bethel,US,1553170920,60.79,-161.76,24.8,100,90,17.22
27,Arraial do Cabo,BR,1553169600,-22.97,-42.02,80.6,74,75,11.41
28,Pithoragarh,IN,1553173194,29.59,80.22,66.94,31,48,1.57
29,Okhotsk,RU,1553173195,59.36,143.24,4.84,100,0,2.91
30,Cidreira,BR,1553173196,-30.17,-50.22,68.74,84,0,10.18
31,Spearfish,US,1553172976,44.49,-103.86,36.0,64,1,2.57
32,Kokoda,PG,1553173199,-8.88,147.74,64.96,96,80,0.67
33,Cockburn Town,TC,1553173133,21.46,-71.14,79.09,95,24,7.94
34,Igurusi,TZ,1553173203,-8.83,33.85,68.83,96,56,1.12
35,East London,ZA,1553169600,-33.02,27.91,69.8,64,40,19.46
36,Albany,US,1553172953,42.65,-73.75,43.0,78,40,6.93
37,Atar,MR,1553169600,20.52,-13.05,95.0,26,76,11.41
38,Manokwari,ID,1553173222,-0.87,134.08,79.18,100,88,8.61
39,Barrow,AR,1553173224,-38.31,-60.23,50.92,89,0,6.6
40,Castro,CL,1553169600,-42.48,-73.76,48.2,100,90,9.17
41,Moussoro,TD,1553173231,13.64,16.49,106.54,15,8,12.75
42,Flagstaff,US,1553173089,35.2,-111.65,46.0,64,90,8.05
43,Saint-Philippe,CA,1553173205,45.36,-73.48,41.0,60,90,8.05
44,Ribeira Grande,PT,1553171400,38.52,-28.7,62.6,72,20,10.29
45,Gouyave,GD,1553169600,12.16,-61.73,80.6,69,20,17.22
46,Hermanus,ZA,1553172439,-34.42,19.24,77.0,59,0,5.99
47,Lompoc,US,1553173198,34.64,-120.46,50.0,100,90,10.29
48,Aklavik,CA,1553169600,68.22,-135.01,19.4,62,90,8.05
49,Zheleznodorozhnyy,RU,1553172105,55.75,38.0,37.0,93,75,6.71
